Perioden,Title,PersonenMetUitgesprokenSchuldsanering_1
1999,'s-Gravenhage (gemeente),65.0
1999,'s-Hertogenbosch,65.0
1999,Aa en Hunze,0.0
1999,Aalburg,0.0
1999,Aalsmeer,0.0
1999,Aalten,0.0
1999,Achtkarspelen,0.0
1999,Alblasserdam,0.0
1999,Albrandswaard,0.0
1999,Alkmaar,30.0
1999,Almelo,110.0
1999,Almere,110.0
1999,Alphen aan den Rijn,10.0
1999,Alphen-Chaam,0.0
1999,Altena,0.0
1999,Ameland,0.0
1999,Amersfoort,20.0
1999,Amstelveen,0.0
1999,Amsterdam,145.0
1999,Anna Paulowna,0.0
1999,Apeldoorn,40.0
1999,Appingedam,10.0
1999,Arnhem,270.0
1999,Assen,35.0
1999,Asten,0.0
1999,Baarle-Nassau,0.0
1999,Baarn,15.0
1999,Barendrecht,0.0
1999,Barneveld,0.0
1999,Bedum,0.0
1999,Beek (L.),0.0
1999,Beekdaelen,0.0
1999,Beemster,0.0
1999,Beesel,0.0
1999,Bellingwedde,0.0
1999,Berg en Dal,0.0
1999,Bergambacht,0.0
1999,Bergeijk,0.0
1999,Bergen (L.),0.0
1999,Bergen (NH.),0.0
1999,Bergen op Zoom,35.0
1999,Berkelland,0.0
1999,Bernheze,0.0
1999,Bernisse,0.0
1999,Best,0.0
1999,Beuningen,10.0
1999,Beverwijk,20.0
1999,Binnenmaas,0.0
1999,Bladel,0.0
1999,Blaricum,0.0
1999,Bloemendaal,0.0
1999,Boarnsterhim,0.0
1999,Bodegraven-Reeuwijk,0.0
1999,Boekel,0.0
1999,Borger-Odoorn,0.0
1999,Borne,10.0
1999,Borsele,10.0
1999,Boskoop,0.0
1999,Boxmeer,0.0
1999,Boxtel,15.0
1999,Breda,80.0
1999,Brielle,0.0
1999,Bronckhorst,0.0
1999,Brummen,0.0
1999,Brunssum,20.0
1999,Bunnik,0.0
1999,Bunschoten,10.0
1999,Buren,10.0
1999,Bussum,0.0
1999,Capelle aan den IJssel,25.0
1999,Castricum,0.0
1999,Coevorden,0.0
1999,Cranendonck,0.0
1999,Cromstrijen,0.0
1999,Cuijk,0.0
1999,Culemborg,10.0
1999,Dalfsen,0.0
1999,Dantumadiel,0.0
1999,De Bilt,0.0
1999,De Friese Meren,0.0
1999,De Fryske Marren,0.0
1999,De Marne,0.0
1999,De Ronde Venen,10.0
1999,De Wolden,10.0
1999,Delft,50.0
1999,Delfzijl,15.0
1999,Den Helder,20.0
1999,Deurne,0.0
1999,Deventer,20.0
1999,Diemen,10.0
1999,Dinkelland,0.0
1999,Dirksland,0.0
1999,Doesburg,0.0
1999,Doetinchem,65.0
1999,Dongen,10.0
1999,Dongeradeel,0.0
1999,Dordrecht,120.0
1999,Drechterland,0.0
1999,Drimmelen,0.0
1999,Dronten,45.0
1999,Druten,0.0
1999,Duiven,25.0
1999,Echt-Susteren,0.0
1999,Edam-Volendam,0.0
1999,Ede,25.0
1999,Eemnes,0.0
1999,Eemsmond,0.0
1999,Eersel,0.0
1999,Eijsden-Margraten,0.0
1999,Eindhoven,70.0
1999,Elburg,10.0
1999,Emmen,30.0
1999,Enkhuizen,10.0
1999,Enschede,105.0
1999,Epe,10.0
1999,Ermelo,0.0
1999,Etten-Leur,20.0
1999,Ferwerderadiel,0.0
1999,Franekeradeel,0.0
1999,Gaasterlân-Sleat,0.0
1999,Geertruidenberg,0.0
1999,Geldermalsen,0.0
1999,Geldrop-Mierlo,0.0
1999,Gemert-Bakel,0.0
1999,Gennep,0.0
1999,Giessenlanden,0.0
1999,Gilze en Rijen,15.0
1999,Goedereede,0.0
1999,Goeree-Overflakkee,0.0
1999,Goes,40.0
1999,Goirle,0.0
1999,Gooise Meren,0.0
1999,Gorinchem,0.0
1999,Gouda,0.0
1999,Graafstroom,0.0
1999,Graft-De Rijp,0.0
1999,Grave,0.0
1999,Groesbeek,0.0
1999,Groningen (gemeente),85.0
1999,Grootegast,0.0
1999,Gulpen-Wittem,0.0
1999,Haaksbergen,0.0
1999,Haaren,0.0
1999,Haarlem,20.0
1999,Haarlemmerliede en Spaarnwoude,0.0
1999,Haarlemmermeer,10.0
1999,Halderberge,10.0
1999,Hardenberg,15.0
1999,Harderwijk,15.0
1999,Hardinxveld-Giessendam,0.0
1999,Haren,0.0
1999,Harenkarspel,0.0
1999,Harlingen,10.0
1999,Hattem,0.0
1999,Heemskerk,45.0
1999,Heemstede,0.0
1999,Heerde,0.0
1999,Heerenveen,15.0
1999,Heerhugowaard,0.0
1999,Heerlen,60.0
1999,Heeze-Leende,0.0
1999,Heiloo,0.0
1999,Hellendoorn,15.0
1999,Hellevoetsluis,15.0
1999,Helmond,25.0
1999,Hendrik-Ido-Ambacht,10.0
1999,Hengelo (O.),75.0
1999,Het Hogeland,0.0
1999,Heumen,0.0
1999,Heusden,15.0
1999,Hillegom,0.0
1999,Hilvarenbeek,0.0
1999,Hilversum,25.0
1999,Hoeksche Waard,0.0
1999,Hof van Twente,0.0
1999,Hollands Kroon,0.0
1999,Hoogeveen,20.0
1999,Hoogezand-Sappemeer,20.0
1999,Hoorn,35.0
1999,Horst aan de Maas,0.0
1999,Houten,10.0
1999,Huizen,0.0
1999,Hulst,0.0
1999,IJsselstein,15.0
1999,Kaag en Braassem,0.0
1999,Kampen,30.0
1999,Kapelle,0.0
1999,Katwijk,0.0
1999,Kerkrade,30.0
1999,Koggenland,0.0
1999,Kollumerland en Nieuwkruisland,0.0
1999,Korendijk,0.0
1999,Krimpen aan den IJssel,0.0
1999,Krimpenerwaard,0.0
1999,Laarbeek,0.0
1999,Landerd,0.0
1999,Landgraaf,15.0
1999,Landsmeer,0.0
1999,Langedijk,0.0
1999,Lansingerland,0.0
1999,Laren (NH.),0.0
1999,Leek,0.0
1999,Leerdam,10.0
1999,Leeuwarden,25.0
1999,Leeuwarderadeel,0.0
1999,Leiden,0.0
1999,Leiderdorp,0.0
1999,Leidschendam-Voorburg,0.0
1999,Lelystad,40.0
1999,Lemsterland,10.0
1999,Leudal,0.0
1999,Leusden,0.0
1999,Liesveld,0.0
1999,Lingewaal,0.0
1999,Lingewaard,0.0
1999,Lisse,0.0
1999,Littenseradiel,0.0
1999,Lochem,0.0
1999,Loon op Zand,10.0
1999,Lopik,0.0
1999,Loppersum,0.0
1999,Losser,0.0
1999,Maasdonk,0.0
1999,Maasdriel,0.0
1999,Maasgouw,0.0
1999,Maassluis,0.0
1999,Maastricht,50.0
1999,Marum,0.0
1999,Medemblik,0.0
1999,Meerssen,0.0
1999,Meierijstad,0.0
1999,Menameradiel,0.0
1999,Menterwolde,0.0
1999,Meppel,15.0
1999,Middelburg (Z.),15.0
1999,Middelharnis,0.0
1999,Midden-Delfland,0.0
1999,Midden-Drenthe,0.0
1999,Midden-Groningen,0.0
1999,Mill en Sint Hubert,0.0
1999,Millingen aan de Rijn,0.0
1999,Moerdijk,10.0
1999,Molenlanden,0.0
1999,Molenwaard,0.0
1999,Montferland,0.0
1999,Montfoort,0.0
1999,Mook en Middelaar,0.0
1999,Muiden,0.0
1999,Naarden,0.0
1999,Neder-Betuwe,0.0
1999,Nederlek,0.0
1999,Nederweert,0.0
1999,Neerijnen,0.0
1999,Niedorp,0.0
1999,Nieuw-Lekkerland,0.0
1999,Nieuwegein,20.0
1999,Nieuwkoop,0.0
1999,Nijkerk,0.0
1999,Nijmegen,70.0
1999,Nissewaard,0.0
1999,Noardeast-Fryslân,0.0
1999,Noord-Beveland,0.0
1999,Noordenveld,0.0
1999,Noordoostpolder,35.0
1999,Noordwijk,0.0
1999,Noordwijkerhout,0.0
1999,"Nuenen, Gerwen en Nederwetten",0.0
1999,Nunspeet,0.0
1999,Nuth,0.0
1999,Oegstgeest,0.0
1999,Oirschot,0.0
1999,Oisterwijk,10.0
1999,Oldambt,0.0
1999,Oldebroek,0.0
1999,Oldenzaal,15.0
1999,Olst-Wijhe,0.0
1999,Ommen,10.0
1999,Onderbanken,0.0
1999,Oost Gelre,0.0
1999,Oosterhout,20.0
1999,Oostflakkee,0.0
1999,Ooststellingwerf,10.0
1999,Oostzaan,0.0
1999,Opmeer,0.0
1999,Opsterland,10.0
1999,Oss,35.0
1999,Oud-Beijerland,0.0
1999,Oude IJsselstreek,0.0
1999,Ouder-Amstel,0.0
1999,Ouderkerk,0.0
1999,Oudewater,0.0
1999,Overbetuwe,0.0
1999,Papendrecht,10.0
1999,Peel en Maas,0.0
1999,Pekela,10.0
1999,Pijnacker-Nootdorp,0.0
1999,Purmerend,40.0
1999,Putten,0.0
1999,Raalte,15.0
1999,Reimerswaal,20.0
1999,Renkum,15.0
1999,Renswoude,0.0
1999,Reusel-De Mierden,0.0
1999,Rheden,10.0
1999,Rhenen,0.0
1999,Ridderkerk,15.0
1999,Rijnwaarden,10.0
1999,Rijnwoude,0.0
1999,Rijssen-Holten,0.0
1999,Rijswijk (ZH.),0.0
1999,Roerdalen,0.0
1999,Roermond,55.0
1999,Roosendaal,35.0
1999,Rotterdam,220.0
1999,Rozendaal,0.0
1999,Rucphen,0.0
1999,Schagen,10.0
1999,Schermer,0.0
1999,Scherpenzeel,0.0
1999,Schiedam,10.0
1999,Schiermonnikoog,0.0
1999,Schijndel,20.0
1999,Schinnen,0.0
1999,Schoonhoven,0.0
1999,Schouwen-Duiveland,0.0
1999,Simpelveld,0.0
1999,Sint Anthonis,0.0
1999,Sint-Michielsgestel,0.0
1999,Sint-Oedenrode,0.0
1999,Sittard-Geleen,0.0
1999,Skarsterlân,0.0
1999,Sliedrecht,10.0
1999,Slochteren,0.0
1999,Sluis,0.0
1999,Smallingerland,10.0
1999,Soest,20.0
1999,Someren,0.0
1999,Son en Breugel,0.0
1999,Spijkenisse,125.0
1999,Stadskanaal,15.0
1999,Staphorst,0.0
1999,Stede Broec,10.0
1999,Steenbergen,0.0
1999,Steenwijkerland,0.0
1999,Stein (L.),0.0
1999,Stichtse Vecht,0.0
1999,Strijen,0.0
1999,Súdwest-Fryslân,0.0
1999,Ten Boer,0.0
1999,Terneuzen,0.0
1999,Terschelling,0.0
1999,Texel,0.0
1999,Teylingen,0.0
1999,Tholen,0.0
1999,Tiel,45.0
1999,Tilburg,75.0
1999,Tubbergen,0.0
1999,Twenterand,0.0
1999,Tynaarlo,0.0
1999,Tytsjerksteradiel,0.0
1999,Ubbergen,0.0
1999,Uden,10.0
1999,Uitgeest,0.0
1999,Uithoorn,0.0
1999,Urk,10.0
1999,Utrecht (gemeente),105.0
1999,Utrechtse Heuvelrug,0.0
1999,Vaals,0.0
1999,Valkenburg aan de Geul,0.0
1999,Valkenswaard,10.0
1999,Veendam,0.0
1999,Veenendaal,10.0
1999,Veere,0.0
1999,Veghel,0.0
1999,Veldhoven,15.0
1999,Velsen,0.0
1999,Venlo,40.0
1999,Venray,10.0
1999,Vianen,0.0
1999,Vijfheerenlanden,0.0
1999,Vlaardingen,10.0
1999,Vlagtwedde,0.0
1999,Vlieland,0.0
1999,Vlissingen,35.0
1999,Vlist,0.0
1999,Voerendaal,0.0
1999,Voorschoten,0.0
1999,Voorst,0.0
1999,Vught,0.0
1999,Waadhoeke,0.0
1999,Waalre,0.0
1999,Waalwijk,20.0
1999,Waddinxveen,0.0
1999,Wageningen,0.0
1999,Wassenaar,0.0
1999,Waterland,0.0
1999,Weert,30.0
1999,Weesp,0.0
1999,Werkendam,0.0
1999,West Betuwe,0.0
1999,West Maas en Waal,0.0
1999,Westerkwartier,0.0
1999,Westerveld,10.0
1999,Westervoort,0.0
1999,Westerwolde,0.0
1999,Westland,0.0
1999,Weststellingwerf,0.0
1999,Westvoorne,0.0
1999,Wierden,0.0
1999,Wieringen,0.0
1999,Wieringermeer,0.0
1999,Wijchen,0.0
1999,Wijdemeren,0.0
1999,Wijk bij Duurstede,0.0
1999,Winsum,0.0
1999,Winterswijk,0.0
1999,Woensdrecht,0.0
1999,Woerden,10.0
1999,Wormerland,0.0
1999,Woudenberg,0.0
1999,Woudrichem,0.0
1999,Zaanstad,10.0
1999,Zaltbommel,0.0
1999,Zandvoort,0.0
1999,Zederik,0.0
1999,Zeevang,0.0
1999,Zeewolde,10.0
1999,Zeist,45.0
1999,Zevenaar,15.0
1999,Zijpe,0.0
1999,Zoetermeer,40.0
1999,Zoeterwoude,0.0
1999,Zuidhorn,0.0
1999,Zuidplas,0.0
1999,Zundert,0.0
1999,Zutphen,10.0
1999,Zwartewaterland,0.0
1999,Zwijndrecht,50.0
1999,Zwolle,45.0
1999,het Bildt,0.0
2000,'s-Gravenhage (gemeente),135.0
2000,'s-Hertogenbosch,160.0
2000,Aa en Hunze,10.0
2000,Aalburg,0.0
2000,Aalsmeer,0.0
2000,Aalten,15.0
2000,Achtkarspelen,15.0
2000,Alblasserdam,0.0
2000,Albrandswaard,10.0
2000,Alkmaar,115.0
2000,Almelo,205.0
2000,Almere,265.0
2000,Alphen aan den Rijn,15.0
2000,Alphen-Chaam,0.0
2000,Altena,0.0
2000,Ameland,0.0
2000,Amersfoort,140.0
2000,Amstelveen,15.0
2000,Amsterdam,490.0
2000,Anna Paulowna,0.0
2000,Apeldoorn,75.0
2000,Appingedam,15.0
2000,Arnhem,430.0
2000,Assen,70.0
2000,Asten,0.0
2000,Baarle-Nassau,0.0
2000,Baarn,20.0
2000,Barendrecht,15.0
2000,Barneveld,15.0
2000,Bedum,0.0
2000,Beek (L.),0.0
2000,Beekdaelen,0.0
2000,Beemster,0.0
2000,Beesel,15.0
2000,Bellingwedde,10.0
2000,Berg en Dal,0.0
2000,Bergambacht,0.0
2000,Bergeijk,0.0
2000,Bergen (L.),10.0
2000,Bergen (NH.),0.0
2000,Bergen op Zoom,70.0
2000,Berkelland,0.0
2000,Bernheze,10.0
2000,Bernisse,0.0
2000,Best,0.0
2000,Beuningen,15.0
2000,Beverwijk,40.0
2000,Binnenmaas,0.0
2000,Bladel,0.0
2000,Blaricum,0.0
2000,Bloemendaal,0.0
2000,Boarnsterhim,0.0
2000,Bodegraven-Reeuwijk,0.0
2000,Boekel,15.0
2000,Borger-Odoorn,0.0
2000,Borne,20.0
2000,Borsele,10.0
2000,Boskoop,0.0
2000,Boxmeer,15.0
2000,Boxtel,25.0
2000,Breda,185.0
2000,Brielle,0.0
2000,Bronckhorst,0.0
2000,Brummen,15.0
2000,Brunssum,50.0
2000,Bunnik,0.0
2000,Bunschoten,15.0
2000,Buren,25.0
2000,Bussum,0.0
2000,Capelle aan den IJssel,80.0
2000,Castricum,0.0
2000,Coevorden,15.0
2000,Cranendonck,20.0
2000,Cromstrijen,10.0
2000,Cuijk,15.0
2000,Culemborg,20.0
2000,Dalfsen,0.0
2000,Dantumadiel,0.0
2000,De Bilt,15.0
2000,De Friese Meren,0.0
2000,De Fryske Marren,0.0
2000,De Marne,10.0
2000,De Ronde Venen,15.0
2000,De Wolden,10.0
2000,Delft,90.0
2000,Delfzijl,45.0
2000,Den Helder,75.0
2000,Deurne,15.0
2000,Deventer,90.0
2000,Diemen,30.0
2000,Dinkelland,0.0
2000,Dirksland,0.0
2000,Doesburg,10.0
2000,Doetinchem,125.0
2000,Dongen,20.0
2000,Dongeradeel,10.0
2000,Dordrecht,210.0
2000,Drechterland,0.0
2000,Drimmelen,0.0
2000,Dronten,105.0
2000,Druten,0.0
2000,Duiven,40.0
2000,Echt-Susteren,0.0
2000,Edam-Volendam,10.0
2000,Ede,55.0
2000,Eemnes,0.0
2000,Eemsmond,15.0
2000,Eersel,0.0
2000,Eijsden-Margraten,0.0
2000,Eindhoven,180.0
2000,Elburg,25.0
2000,Emmen,135.0
2000,Enkhuizen,20.0
2000,Enschede,250.0
2000,Epe,10.0
2000,Ermelo,10.0
2000,Etten-Leur,45.0
2000,Ferwerderadiel,0.0
2000,Franekeradeel,15.0
2000,Gaasterlân-Sleat,0.0
2000,Geertruidenberg,0.0
2000,Geldermalsen,0.0
2000,Geldrop-Mierlo,0.0
2000,Gemert-Bakel,10.0
2000,Gennep,10.0
2000,Giessenlanden,0.0
2000,Gilze en Rijen,20.0
2000,Goedereede,0.0
2000,Goeree-Overflakkee,0.0
2000,Goes,65.0
2000,Goirle,10.0
2000,Gooise Meren,0.0
2000,Gorinchem,15.0
2000,Gouda,30.0
2000,Graafstroom,0.0
2000,Graft-De Rijp,0.0
2000,Grave,10.0
2000,Groesbeek,10.0
2000,Groningen (gemeente),185.0
2000,Grootegast,0.0
2000,Gulpen-Wittem,0.0
2000,Haaksbergen,15.0
2000,Haaren,0.0
2000,Haarlem,90.0
2000,Haarlemmerliede en Spaarnwoude,0.0
2000,Haarlemmermeer,55.0
2000,Halderberge,25.0
2000,Hardenberg,25.0
2000,Harderwijk,35.0
2000,Hardinxveld-Giessendam,0.0
2000,Haren,0.0
2000,Harenkarspel,10.0
2000,Harlingen,10.0
2000,Hattem,0.0
2000,Heemskerk,80.0
2000,Heemstede,0.0
2000,Heerde,0.0
2000,Heerenveen,30.0
2000,Heerhugowaard,15.0
2000,Heerlen,145.0
2000,Heeze-Leende,0.0
2000,Heiloo,0.0
2000,Hellendoorn,35.0
2000,Hellevoetsluis,55.0
2000,Helmond,65.0
2000,Hendrik-Ido-Ambacht,15.0
2000,Hengelo (O.),120.0
2000,Het Hogeland,0.0
2000,Heumen,20.0
2000,Heusden,30.0
2000,Hillegom,0.0
2000,Hilvarenbeek,0.0
2000,Hilversum,45.0
2000,Hoeksche Waard,0.0
2000,Hof van Twente,0.0
2000,Hollands Kroon,0.0
2000,Hoogeveen,35.0
2000,Hoogezand-Sappemeer,60.0
2000,Hoorn,70.0
2000,Horst aan de Maas,0.0
2000,Houten,15.0
2000,Huizen,15.0
2000,Hulst,0.0
2000,IJsselstein,40.0
2000,Kaag en Braassem,0.0
2000,Kampen,50.0
2000,Kapelle,0.0
2000,Katwijk,0.0
2000,Kerkrade,90.0
2000,Koggenland,0.0
2000,Kollumerland en Nieuwkruisland,10.0
2000,Korendijk,0.0
2000,Krimpen aan den IJssel,10.0
2000,Krimpenerwaard,0.0
2000,Laarbeek,0.0
2000,Landerd,0.0
2000,Landgraaf,60.0
2000,Landsmeer,0.0
2000,Langedijk,0.0
2000,Lansingerland,0.0
2000,Laren (NH.),0.0
2000,Leek,10.0
2000,Leerdam,25.0
2000,Leeuwarden,40.0
2000,Leeuwarderadeel,0.0
2000,Leiden,30.0
2000,Leiderdorp,0.0
2000,Leidschendam-Voorburg,0.0
2000,Lelystad,105.0
2000,Lemsterland,10.0
2000,Leudal,0.0
2000,Leusden,15.0
2000,Liesveld,0.0
2000,Lingewaal,0.0
2000,Lingewaard,0.0
2000,Lisse,0.0
2000,Littenseradiel,0.0
2000,Lochem,0.0
2000,Loon op Zand,25.0
2000,Lopik,0.0
2000,Loppersum,10.0
2000,Losser,10.0
2000,Maasdonk,0.0
2000,Maasdriel,10.0
2000,Maasgouw,0.0
2000,Maassluis,10.0
2000,Maastricht,115.0
2000,Marum,10.0
2000,Medemblik,15.0
2000,Meerssen,0.0
2000,Meierijstad,0.0
2000,Menameradiel,0.0
2000,Menterwolde,0.0
2000,Meppel,25.0
2000,Middelburg (Z.),25.0
2000,Middelharnis,0.0
2000,Midden-Delfland,0.0
2000,Midden-Drenthe,15.0
2000,Midden-Groningen,0.0
2000,Mill en Sint Hubert,0.0
2000,Millingen aan de Rijn,0.0
2000,Moerdijk,25.0
2000,Molenlanden,0.0
2000,Molenwaard,0.0
2000,Montferland,0.0
2000,Montfoort,0.0
2000,Mook en Middelaar,0.0
2000,Muiden,0.0
2000,Naarden,0.0
2000,Neder-Betuwe,0.0
2000,Nederlek,0.0
2000,Nederweert,10.0
2000,Neerijnen,10.0
2000,Niedorp,0.0
2000,Nieuw-Lekkerland,0.0
2000,Nieuwegein,80.0
2000,Nieuwkoop,0.0
2000,Nijkerk,20.0
2000,Nijmegen,200.0
2000,Nissewaard,0.0
2000,Noardeast-Fryslân,0.0
2000,Noord-Beveland,0.0
2000,Noordenveld,10.0
2000,Noordoostpolder,55.0
2000,Noordwijk,0.0
2000,Noordwijkerhout,0.0
2000,"Nuenen, Gerwen en Nederwetten",15.0
2000,Nunspeet,20.0
2000,Nuth,0.0
2000,Oegstgeest,0.0
2000,Oirschot,0.0
2000,Oisterwijk,10.0
2000,Oldambt,0.0
2000,Oldebroek,10.0
2000,Oldenzaal,30.0
2000,Olst-Wijhe,0.0
2000,Ommen,15.0
2000,Onderbanken,10.0
2000,Oost Gelre,0.0
2000,Oosterhout,40.0
2000,Oostflakkee,0.0
2000,Ooststellingwerf,15.0
2000,Oostzaan,0.0
2000,Opmeer,10.0
2000,Opsterland,15.0
2000,Oss,85.0
2000,Oud-Beijerland,10.0
2000,Oude IJsselstreek,0.0
2000,Ouder-Amstel,0.0
2000,Ouderkerk,0.0
2000,Oudewater,0.0
2000,Overbetuwe,0.0
2000,Papendrecht,20.0
2000,Peel en Maas,0.0
2000,Pekela,25.0
2000,Pijnacker-Nootdorp,0.0
2000,Purmerend,90.0
2000,Putten,15.0
2000,Raalte,15.0
2000,Reimerswaal,35.0
2000,Renkum,30.0
2000,Renswoude,0.0
2000,Reusel-De Mierden,0.0
2000,Rheden,30.0
2000,Rhenen,10.0
2000,Ridderkerk,25.0
2000,Rijnwaarden,15.0
2000,Rijnwoude,0.0
2000,Rijssen-Holten,0.0
2000,Rijswijk (ZH.),20.0
2000,Roerdalen,10.0
2000,Roermond,110.0
2000,Roosendaal,65.0
2000,Rotterdam,380.0
2000,Rozendaal,0.0
2000,Rucphen,20.0
2000,Schagen,10.0
2000,Schermer,0.0
2000,Scherpenzeel,0.0
2000,Schiedam,35.0
2000,Schiermonnikoog,0.0
2000,Schijndel,30.0
2000,Schinnen,0.0
2000,Schoonhoven,0.0
2000,Schouwen-Duiveland,15.0
2000,Simpelveld,15.0
2000,Sint Anthonis,0.0
2000,Sint-Michielsgestel,0.0
2000,Sint-Oedenrode,0.0
2000,Sittard-Geleen,0.0
2000,Skarsterlân,0.0
2000,Sliedrecht,10.0
2000,Slochteren,10.0
2000,Sluis,0.0
2000,Smallingerland,40.0
2000,Soest,40.0
2000,Someren,0.0
2000,Son en Breugel,0.0
2000,Spijkenisse,190.0
2000,Stadskanaal,50.0
2000,Staphorst,0.0
2000,Stede Broec,25.0
2000,Steenbergen,25.0
2000,Steenwijkerland,0.0
2000,Stein (L.),0.0
2000,Stichtse Vecht,0.0
2000,Strijen,10.0
2000,Súdwest-Fryslân,0.0
2000,Ten Boer,0.0
2000,Terneuzen,15.0
2000,Terschelling,0.0
2000,Texel,0.0
2000,Teylingen,0.0
2000,Tholen,0.0
2000,Tiel,95.0
2000,Tilburg,140.0
2000,Tubbergen,0.0
2000,Twenterand,0.0
2000,Tynaarlo,10.0
2000,Tytsjerksteradiel,10.0
2000,Ubbergen,0.0
2000,Uden,25.0
2000,Uitgeest,10.0
2000,Uithoorn,10.0
2000,Urk,10.0
2000,Utrecht (gemeente),260.0
2000,Utrechtse Heuvelrug,0.0
2000,Vaals,10.0
2000,Valkenburg aan de Geul,0.0
2000,Valkenswaard,25.0
2000,Veendam,30.0
2000,Veenendaal,35.0
2000,Veere,0.0
2000,Veghel,15.0
2000,Veldhoven,25.0
2000,Velsen,10.0
2000,Venlo,100.0
2000,Venray,30.0
2000,Vianen,10.0
2000,Vijfheerenlanden,0.0
2000,Vlaardingen,55.0
2000,Vlagtwedde,25.0
2000,Vlieland,0.0
2000,Vlissingen,115.0
2000,Vlist,0.0
2000,Voerendaal,0.0
2000,Voorschoten,0.0
2000,Voorst,10.0
2000,Vught,15.0
2000,Waadhoeke,0.0
2000,Waalre,0.0
2000,Waalwijk,30.0
2000,Waddinxveen,0.0
2000,Wageningen,10.0
2000,Wassenaar,0.0
2000,Waterland,10.0
2000,Weert,35.0
2000,Weesp,10.0
2000,Werkendam,0.0
2000,West Betuwe,0.0
2000,West Maas en Waal,10.0
2000,Westerkwartier,0.0
2000,Westerveld,15.0
2000,Westervoort,20.0
2000,Westerwolde,0.0
2000,Westland,0.0
2000,Weststellingwerf,10.0
2000,Westvoorne,0.0
2000,Wierden,10.0
2000,Wieringen,10.0
2000,Wieringermeer,10.0
2000,Wijchen,10.0
2000,Wijdemeren,0.0
2000,Wijk bij Duurstede,0.0
2000,Winsum,0.0
2000,Winterswijk,35.0
2000,Woensdrecht,0.0
2000,Woerden,20.0
2000,Wormerland,0.0
2000,Woudenberg,0.0
2000,Woudrichem,0.0
2000,Zaanstad,45.0
2000,Zaltbommel,20.0
2000,Zandvoort,10.0
2000,Zederik,10.0
2000,Zeevang,0.0
2000,Zeewolde,20.0
2000,Zeist,80.0
2000,Zevenaar,40.0
2000,Zijpe,0.0
2000,Zoetermeer,85.0
2000,Zoeterwoude,0.0
2000,Zuidhorn,0.0
2000,Zuidplas,0.0
2000,Zundert,10.0
2000,Zutphen,70.0
2000,Zwartewaterland,0.0
2000,Zwijndrecht,50.0
2000,Zwolle,115.0
2000,het Bildt,0.0
2001,'s-Gravenhage (gemeente),175.0
2001,'s-Hertogenbosch,225.0
2001,Aa en Hunze,25.0
2001,Aalburg,0.0
2001,Aalsmeer,15.0
2001,Aalten,20.0
2001,Achtkarspelen,20.0
2001,Alblasserdam,10.0
2001,Albrandswaard,10.0
2001,Alkmaar,175.0
2001,Almelo,220.0
2001,Almere,370.0
2001,Alphen aan den Rijn,35.0
2001,Alphen-Chaam,0.0
2001,Altena,0.0
2001,Ameland,0.0
2001,Amersfoort,195.0
2001,Amstelveen,25.0
2001,Amsterdam,810.0
2001,Anna Paulowna,0.0
2001,Apeldoorn,110.0
2001,Appingedam,20.0
2001,Arnhem,625.0
2001,Assen,130.0
2001,Asten,0.0
2001,Baarle-Nassau,0.0
2001,Baarn,30.0
2001,Barendrecht,15.0
2001,Barneveld,35.0
2001,Bedum,0.0
2001,Beek (L.),10.0
2001,Beekdaelen,0.0
2001,Beemster,0.0
2001,Beesel,15.0
2001,Bellingwedde,15.0
2001,Berg en Dal,0.0
2001,Bergambacht,0.0
2001,Bergeijk,0.0
2001,Bergen (L.),15.0
2001,Bergen (NH.),10.0
2001,Bergen op Zoom,110.0
2001,Berkelland,0.0
2001,Bernheze,15.0
2001,Bernisse,0.0
2001,Best,10.0
2001,Beuningen,20.0
2001,Beverwijk,45.0
2001,Binnenmaas,0.0
2001,Bladel,10.0
2001,Blaricum,0.0
2001,Bloemendaal,0.0
2001,Boarnsterhim,0.0
2001,Bodegraven-Reeuwijk,0.0
2001,Boekel,15.0
2001,Borger-Odoorn,35.0
2001,Borne,20.0
2001,Borsele,15.0
2001,Boskoop,0.0
2001,Boxmeer,25.0
2001,Boxtel,25.0
2001,Breda,270.0
2001,Brielle,0.0
2001,Bronckhorst,0.0
2001,Brummen,20.0
2001,Brunssum,80.0
2001,Bunnik,0.0
2001,Bunschoten,15.0
2001,Buren,30.0
2001,Bussum,20.0
2001,Capelle aan den IJssel,120.0
2001,Castricum,10.0
2001,Coevorden,20.0
2001,Cranendonck,25.0
2001,Cromstrijen,0.0
2001,Cuijk,20.0
2001,Culemborg,35.0
2001,Dalfsen,15.0
2001,Dantumadiel,0.0
2001,De Bilt,15.0
2001,De Friese Meren,0.0
2001,De Fryske Marren,0.0
2001,De Marne,20.0
2001,De Ronde Venen,20.0
2001,De Wolden,20.0
2001,Delft,135.0
2001,Delfzijl,60.0
2001,Den Helder,100.0
2001,Deurne,20.0
2001,Deventer,145.0
2001,Diemen,45.0
2001,Dinkelland,0.0
2001,Dirksland,0.0
2001,Doesburg,25.0
2001,Doetinchem,170.0
2001,Dongen,20.0
2001,Dongeradeel,20.0
2001,Dordrecht,245.0
2001,Drechterland,10.0
2001,Drimmelen,10.0
2001,Dronten,140.0
2001,Druten,10.0
2001,Duiven,65.0
2001,Echt-Susteren,0.0
2001,Edam-Volendam,10.0
2001,Ede,100.0
2001,Eemnes,0.0
